index,X,Y,W,H,Status,Color,Y_rank,X_rank,Spot Number
,238,18,28,23,Empty,,1,20,1
,205,23,24,40,Empty,,2,16,2
,113,31,29,23,Empty,,3,5,3
,325,34,21,31,Occupied,"[[148, 141, 147], [56, 52, 56]]",4,30,4
,252,36,26,23,Empty,,5,22,5
,89,42,28,25,Empty,,6,1,6
,217,42,24,35,Empty,,6,17,7
,124,48,30,23,Empty,,7,6,8
,343,48,20,34,Empty,,7,32,9
,266,53,32,27,Empty,,8,24,10
,229,58,25,35,Empty,,9,18,11
,97,61,30,27,Empty,,10,2,12
,131,65,36,32,Occupied,"[[73, 56, 81], [186, 176, 206]]",11,7,13
,363,67,20,40,Empty,,12,35,14
,282,73,28,26,Empty,,13,26,15
,246,79,23,38,Empty,,14,21,16
,102,80,31,31,Empty,,15,3,17
,144,88,32,29,Empty,,16,9,18
,301,95,32,29,Empty,,17,27,19
,259,98,27,39,Empty,,18,23,20
,110,105,36,32,Empty,,19,4,21
,154,112,37,33,Occupied,"[[74, 67, 75], [202, 200, 210]]",20,10,22
,322,123,36,32,Empty,,21,29,23
,280,125,26,40,Empty,,22,25,24
,124,132,37,38,Empty,,23,6,25
,165,141,39,35,Empty,,24,12,26
,346,151,34,38,Empty,,25,33,27
,304,152,24,48,Empty,,26,28,28
,132,163,38,38,Empty,,27,8,29
,176,172,42,41,Empty,,28,13,30
,326,179,26,46,Empty,,29,31,31
,371,188,40,39,Occupied,"[[59, 56, 60], [205, 206, 211]]",30,36,32
,144,198,41,46,Empty,,31,9,33
,195,209,40,46,Empty,,32,14,34
,351,219,32,45,Occupied,"[[80, 40, 40], [135, 108, 106]]",33,34,35
,159,237,43,51,Empty,,34,11,36
,205,255,46,50,Occupied,"[[88, 80, 87], [214, 209, 219]]",35,16,37
,176,282,49,58,Empty,,36,13,38
,236,302,44,54,Occupied,"[[90, 79, 84], [37, 30, 36]]",37,19,39
,197,342,55,76,Empty,,38,15,40
