index,X,Y,W,H,Status,Color,Y_rank,X_rank,Spot Number
,238,18,28,23,E,,1,20,1
,205,23,24,40,E,,2,16,2
,113,31,29,23,E,,3,5,3
,325,34,21,31,F,"[[148, 140, 146], [56, 52, 56]]",4,30,4
,252,36,26,23,E,,5,22,5
,89,42,28,25,E,,6,1,6
,217,42,24,35,E,,6,17,7
,124,48,30,23,E,,7,6,8
,343,48,20,34,E,,7,32,9
,266,53,32,27,E,,8,24,10
,229,58,25,35,E,,9,18,11
,97,61,30,27,E,,10,2,12
,131,65,36,32,F,"[[73, 56, 81], [185, 176, 206]]",11,7,13
,363,67,20,40,E,,12,35,14
,282,73,28,26,E,,13,26,15
,246,79,23,38,E,,14,21,16
,102,80,31,31,E,,15,3,17
,144,88,32,29,E,,16,9,18
,301,95,32,29,E,,17,27,19
,259,98,27,39,E,,18,23,20
,110,105,36,32,E,,19,4,21
,154,112,37,33,F,"[[74, 67, 75], [202, 199, 210]]",20,10,22
,322,123,36,32,E,,21,29,23
,280,125,26,40,E,,22,25,24
,124,132,37,38,E,,23,6,25
,165,141,39,35,E,,24,12,26
,346,151,34,38,E,,25,33,27
,304,152,24,48,E,,26,28,28
,132,163,38,38,E,,27,8,29
,176,172,42,41,E,,28,13,30
,326,179,26,46,E,,29,31,31
,371,188,40,39,F,"[[41, 39, 43], [127, 122, 128]]",30,36,32
,144,198,41,46,E,,31,9,33
,195,209,40,46,E,,32,14,34
,351,219,32,45,F,"[[135, 108, 106], [80, 40, 40]]",33,34,35
,159,237,43,51,E,,34,11,36
,205,255,46,50,F,"[[88, 80, 88], [214, 210, 220]]",35,16,37
,176,282,49,58,E,,36,13,38
,236,302,44,54,F,"[[90, 79, 84], [37, 30, 36]]",37,19,39
,197,342,55,76,E,,38,15,40
